date,daily_electricity
2017-02-26,1551798.0
2017-02-27,1679313.0
2017-02-28,1713184.0
2017-03-01,1770371.0
2017-03-02,1729829.0
2017-03-03,1704248.0
2017-03-04,1560418.0
2017-03-05,1569546.0
2017-03-06,1720726.0
2017-03-07,1676362.0
2017-03-08,1756540.0
2017-03-09,1688265.0
2017-03-10,1638655.0
2017-03-11,1477231.0
2017-03-12,1358159.0
2017-03-13,1570784.0
2017-03-14,1540986.0
2017-03-15,1593006.0
2017-03-16,1587146.0
2017-03-17,1587991.0
2017-03-18,1488391.0
2017-03-19,1369329.0
2017-03-20,1550689.0
2017-03-21,1532733.0
2017-03-22,1609674.0
2017-03-23,1609599.0
2017-03-24,1617423.0
2017-03-25,1549760.0
2017-03-26,1350467.0
2017-03-27,1560073.0
2017-03-28,1577956.0
2017-03-29,1528984.0
2017-03-30,1570229.0
2017-03-31,1475391.0
2017-04-01,1309496.0
2017-04-02,1263154.0
2017-04-03,1464923.0
2017-04-04,1499512.0
2017-04-05,1506372.0
2017-04-06,1526251.0
2017-04-07,1519338.0
2017-04-08,1347136.0
2017-04-09,1247779.0
2017-04-10,1402373.0
2017-04-11,1450738.0
2017-04-12,1472013.0
2017-04-13,1469353.0
2017-04-14,1394968.0
2017-04-15,1251148.0
2017-04-16,1171912.0
2017-04-17,1261428.0
2017-04-18,1453791.0
2017-04-19,1513389.0
2017-04-20,1492737.0
2017-04-21,1485476.0
2017-04-22,1333268.0
2017-04-23,1255821.0
2017-04-24,1397250.0
2017-04-25,1423212.0
2017-04-26,1511473.0
2017-04-27,1544423.0
2017-04-28,1539259.0
2017-04-29,1353121.0
2017-04-30,1201214.0
2017-05-01,1252810.0
2017-05-02,1413133.0
2017-05-03,1457950.0
2017-05-04,1485049.0
2017-05-05,1503800.0
2017-05-06,1335142.0
2017-05-07,1270602.0
2017-05-08,1335364.0
2017-05-09,1447256.0
2017-05-10,1449533.0
2017-05-11,1425550.0
2017-05-12,1393005.0
2017-05-13,1250487.0
2017-05-14,1215460.0
2017-05-15,1387508.0
2017-05-16,1403707.0
2017-05-17,1378951.0
2017-05-18,1387774.0
2017-05-19,1413471.0
2017-05-20,1222975.0
2017-05-21,1156155.0
2017-05-22,1312711.0
2017-05-23,1306345.0
2017-05-24,1296506.0
2017-05-25,1195942.0
2017-05-26,1237948.0
2017-05-27,1109972.0
2017-05-28,1094647.0
2017-05-29,1235138.0
2017-05-30,1237641.0
2017-05-31,1244621.0
2017-06-01,1267394.0
2017-06-02,1283161.0
2017-06-03,1155878.0
2017-06-04,1077604.0
2017-06-05,1119982.0
2017-06-06,1329209.0
2017-06-07,1281924.0
2017-06-08,1318983.0
2017-06-09,1317090.0
2017-06-10,1165699.0
2017-06-11,1081369.0
2017-06-12,1228286.0
2017-06-13,1243858.0
2017-06-14,1276246.0
2017-06-15,1265172.0
2017-06-16,1269998.0
2017-06-17,1150162.0
2017-06-18,1139538.0
2017-06-19,1280411.0
2017-06-20,1270626.0
2017-06-21,1283689.0
2017-06-22,1306696.0
2017-06-23,1281497.0
2017-06-24,1155659.0
2017-06-25,1091232.0
2017-06-26,1234235.0
2017-06-27,1263814.0
2017-06-28,1270737.0
2017-06-29,1298263.0
2017-06-30,1240784.0
2017-07-01,1120237.0
2017-07-02,1071458.0
2017-07-03,1169837.0
2017-07-04,1202833.0
2017-07-05,1242540.0
2017-07-06,1282837.0
2017-07-07,1293534.0
2017-07-08,1213523.0
2017-07-09,1163770.0
2017-07-10,1288014.0
2017-07-11,1303223.0
2017-07-12,1346424.0
2017-07-13,1292280.0
2017-07-14,1237840.0
2017-07-15,1193408.0
2017-07-16,1120799.0
2017-07-17,1269631.0
2017-07-18,1317518.0
2017-07-19,1329358.0
2017-07-20,1366483.0
2017-07-21,1325402.0
2017-07-22,1206708.0
2017-07-23,1178291.0
2017-07-24,1301762.0
2017-07-25,1277351.0
2017-07-26,1283568.0
2017-07-27,1297589.0
2017-07-28,1268703.0
2017-07-29,1176283.0
2017-07-30,1097094.0
2017-07-31,1226082.0
2017-08-01,1247193.0
2017-08-02,1256348.0
2017-08-03,1244752.0
2017-08-04,1205676.0
2017-08-05,1118448.0
2017-08-06,1056980.0
2017-08-07,1163241.0
2017-08-08,1159200.0
2017-08-09,1149644.0
2017-08-10,1210570.0
2017-08-11,1226455.0
2017-08-12,1125458.0
2017-08-13,1073351.0
2017-08-14,1157510.0
2017-08-15,1146942.0
2017-08-16,1176016.0
2017-08-17,1163489.0
2017-08-18,1176928.0
2017-08-19,1091945.0
2017-08-20,1040739.0
2017-08-21,1190588.0
2017-08-22,1233073.0
2017-08-23,1255693.0
2017-08-24,1227848.0
2017-08-25,1237694.0
2017-08-26,1130663.0
2017-08-27,1090558.0
2017-08-28,1250070.0
2017-08-29,1279008.0
2017-08-30,1306837.0
2017-08-31,1297308.0
2017-09-01,1327054.0
2017-09-02,1207866.0
2017-09-03,1140357.0
